"V1","V2","V3","V4","V5","V6","V7","V8","V9"
522917.876388072,-0.00167881296198402,30251511286.7951,-0.00152156220804045,166487784.296394,-5335462736.6629,25462946211.3967,-178868034055.493,1411194156242392
432652.05658567,-0.00106575887872395,23807426058.1565,-0.000758145627742124,181498134.910427,35282261797.7773,13346010654.7831,-120870173253.884,721184913191385
350492.28995981,-0.000414958855344594,18949444154.36,-0.000244737000173245,193823049.044159,11007857727.1952,7626030015.3004,-88102299586.7179,412025606354034
456182.986271358,-0.00135125483870979,25272984131.9651,-0.00106682673674641,-351751088.266662,1254278242.06297,18381286308.8729,-274691973895.085,1016944218281573
430904.122742215,-0.00122878182452268,23727813864.6348,-0.000892643620431954,174834955.825044,-10078940019.5714,14861684449.6348,-195933891415.821,809482704723392
372264.501998657,-0.000557505453002705,20487400892.3097,-0.00034938487915781,115483142.886422,1428257632.49377,8549511643.14081,-70417204060.9925,459579375023717
342464.781959716,-0.000449695663007788,18203249245.2262,-0.000257372728583505,-106972972.733406,-2368937793.77347,6628341629.44056,-75244344981.7221,353766813588820
280841.716079157,0.000301294678536124,15176155682.0569,0.000145318831670238,-20308713.4779576,-6059418705.8249,3882765308.25818,-48346096224.4408,208633471028879
451889.954075549,-0.00122175639404531,26631550356.3919,-0.000962283596436464,-131216796.571361,-12568902235.5842,17759412519.4339,-180131675032.342,1013107063259292
377993.239214033,-0.000700604567271057,20607435871.7618,-0.000451231654096773,-30307372.4087609,-32784788731.8412,9583740207.47786,-89599885733.5677,523103704779440
174799.59317647,-3.6848484796792e-07,10396579091.0687,-2.562935833339e-06,121362468.16179,-5038767771.43526,1172588534.13912,-5657285377.84206,64195073793399.3
135320.442823532,1.85163105470565e-06,8280275910.35269,-6.90203481212848e-06,70110505.0141647,13057185193.5406,590109128.922204,-913304066.327352,32749411517579.6
116657.250901979,1.00310661537151e-05,7176985028.2614,1.72381939478328e-06,22573225.928117,20748639727.5799,482255842.943894,-4600151684.9918,27357283697447.6
131010.566039217,1.02008209523774e-06,7981950916.72382,-6.24643760716026e-06,55645380.7034175,-15394062624.3019,592811287.036164,-3649066898.15302,32677630846545.6
109028.016235302,3.5676499692272e-06,6989217449.0941,-2.70854437189882e-06,-47672796.3619024,-14502918054.1863,440719803.218824,-2886554898.23183,25482625288896
156996.114588265,1.23841613230979e-05,9342933573.86185,1.05733962811883e-05,77636277.2681599,21435021000.5902,822895624.996356,55705790.8034635,45274641101685.2
152215.19250979,-6.09135759077617e-06,9363937875.91301,1.64275962788452e-06,5904922.06597333,4711704647.19802,902622207.245152,-1822593881.42588,50086612611446.3
125737.180784347,1.45946240763806e-05,7895405821.62619,3.77471747015079e-06,594633.169169733,-5245833378.7409,621314262.701071,-3157825874.73663,34825426712296.2
101366.238588235,8.83032839738007e-07,6618707902.06924,2.83012809632055e-07,95121270.9145841,-2428387426.58697,429809532.831995,-2433015506.23431,25020712050570.7
130962.402274507,-9.84823259386758e-07,7944087219.55618,1.23830723453011e-05,-106229058.42804,-14601859308.9557,510524470.975636,862161624.944498,28164387610025.6
278469.365844315,0.000472234699088858,17194371553.3949,0.000247218330684973,-116130575.863045,17961052099.8737,4954801342.30155,-13574165834.4053,275462806769730
335907.519962066,0.000535593414895175,21949726883.9675,0.000371950033581925,494039609.421853,25112934323.2614,12096563110.7413,-84090107345.5918,700462038248906
323999.277294275,7.35600029884154e-05,21079116708.8672,-1.04937487321877e-06,418484026.057536,69583104012.5154,10584149296.9805,-136790401831.533,617452467913326
312847.144000832,0.000344793712883984,19592825008.4327,0.000218020768272709,-79733219.8240248,-60318558046.0273,8311030006.90055,-62056000510.8608,468510549680700
335187.323647965,0.000359338486418892,20293871481.0074,0.000175968046448816,-11044271.8394192,70355632175.9256,7951694041.18383,-35175887182.0923,439377129017435
