"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"./plantas/biloba_01.jpg",7450,2823,1104,604,1038,872,2562,918,2261,3674,698,933,981,3925,2136,2836,1012,1959,2674,3566,1278,577,974,878,4773,1863,1357,2561,2524,997,2115,3344,2000,1301,1141,918,1197,3337,2067,1455,3056,2249,4815,7111,1570,1496,4525,2246,1481,2666,2545,1360,1276,1266,3083,1275,429841,35582
"./plantas/biloba_02.jpg",3200,1096,610,315,737,833,1366,787,1471,1777,257,643,643,1708,1258,938,530,1548,1567,2699,1140,255,565,552,2339,1487,1048,1538,1323,679,1644,2094,1703,990,790,687,748,2211,1622,1011,1156,1796,3771,7472,1181,769,2327,1812,1205,1523,1370,926,829,801,1057,709,377499,16208
"./plantas/biloba_03.jpg",4055,2205,829,295,754,594,1051,655,1802,1528,325,637,789,3769,1777,2129,711,1667,1999,3329,1302,247,662,383,1811,1718,1330,1318,1025,654,1603,1438,1383,1211,979,569,930,2533,1500,1366,2556,2244,6107,6822,1463,1202,2331,2424,1428,1291,1147,1254,1085,1261,2499,1080,282555,21399
"./plantas/biloba_04.jpg",5533,1549,990,435,970,1049,2612,1166,2779,3731,506,1041,954,4072,2689,1446,860,2172,2152,3392,2129,326,775,837,3269,2163,1960,3032,2606,1054,2370,3243,4592,1947,1646,1014,853,1996,2324,2077,1822,2448,3579,2908,2055,1799,3684,2427,1877,3008,4007,1671,1290,1724,1645,1535,385875,29399
"./plantas/biloba_05.jpg",3908,1436,831,295,817,941,1981,884,2219,2852,270,834,858,2101,2137,1433,744,2304,3855,4561,1730,282,704,727,2729,2274,1791,2340,2021,898,2185,2785,2751,1527,1237,817,887,2558,2021,1663,1688,2136,2345,3343,1798,1267,2984,2066,1694,2338,2335,1507,1197,1486,1583,1191,370200,22818
"./plantas/biloba_06.jpg",3300,2430,736,266,703,460,689,530,1362,966,212,441,916,3093,1192,2233,530,1491,3261,3868,1061,235,612,265,1012,1416,1019,847,670,506,1561,1167,1214,1109,960,478,1037,4098,1535,1133,2723,1420,6621,10007,1314,1086,568,1497,1292,807,989,996,1066,894,2499,825,302724,18240
"./plantas/biloba_07.jpg",3829,2626,525,234,393,357,569,302,912,879,346,398,640,3463,910,2289,484,972,3298,2706,674,228,361,165,386,1114,781,639,570,423,722,724,803,646,589,300,530,1537,630,766,2664,989,3278,2128,783,859,1175,1010,649,638,532,574,644,653,2511,823,295609,18427
"./plantas/biloba_08.jpg",2301,1259,486,206,439,450,795,432,1115,1266,174,450,529,2174,1112,1121,395,1047,1433,2826,993,170,395,310,835,1025,922,1030,837,458,1259,1086,1382,852,806,403,728,2066,1091,1001,1273,1307,4329,7704,1245,929,1859,1330,1153,996,1014,836,866,836,1157,760,234337,14024
"./plantas/biloba_09.jpg",4943,2074,1085,406,1075,1232,2883,1177,2876,4500,312,1053,1183,4404,2741,1960,891,2772,3888,6029,2198,331,902,1085,4734,2872,2035,3189,2945,1187,2932,4334,4743,2103,1616,1047,1132,3835,2956,2021,2517,2519,3323,4424,2229,1687,6061,2392,2046,3317,4769,1812,1516,1792,2329,1433,360258,28171
"./plantas/biloba_10.jpg",6187,2408,919,538,891,693,2007,791,1877,2969,574,779,850,3272,1844,2311,809,1663,3599,3535,1266,444,646,474,2306,1624,1266,2023,2100,878,1813,1796,1963,1259,1154,705,787,3113,1699,1313,2541,1685,2735,3028,1293,1239,3453,1669,1096,2190,2699,1040,1146,1236,2516,1273,297952,31792
"./plantas/europaea_01.jpg",3118,615,516,214,442,542,1375,521,1182,1010,252,591,1039,1974,895,566,458,1521,4749,8021,1188,222,413,555,1207,1415,1469,1537,1524,614,1491,1279,3982,963,962,563,964,4190,1303,1063,610,1231,1787,8981,1598,1319,1102,957,1225,1567,4261,979,1040,1097,616,1190,110261,13548
"./plantas/europaea_02.jpg",3215,512,424,212,409,442,1453,530,773,836,259,602,989,2153,707,445,378,924,3944,4009,775,246,408,459,1014,973,882,1558,1395,560,966,833,858,537,470,587,1042,3388,816,582,464,723,1736,5256,872,535,832,692,797,1599,824,546,460,558,427,522,95697,12677
"./plantas/europaea_03.jpg",5086,735,396,387,331,327,1769,465,820,689,405,435,864,2450,607,695,392,912,2829,6855,959,418,397,338,688,804,1115,1968,1896,448,899,720,2684,749,1134,483,1114,2459,674,875,654,994,3042,8548,1201,1244,710,739,1299,1993,3002,927,1274,814,699,1148,62225,20018
"./plantas/europaea_04.jpg",4971,578,311,414,273,232,1666,370,384,387,373,395,1030,1319,374,537,325,497,3231,5162,573,384,315,210,414,506,721,1733,1644,378,540,436,751,421,625,356,892,2635,514,527,536,504,2543,5403,724,732,398,485,780,1725,704,457,751,455,499,786,93767,18129
"./plantas/europaea_05.jpg",4610,562,383,339,410,532,2840,561,840,1252,319,582,1260,2800,781,579,352,852,3129,6731,983,317,393,500,1194,742,1055,2851,2765,594,781,1103,1597,622,724,603,1274,2748,764,589,529,933,3559,6211,959,765,1172,856,1128,2935,1653,656,773,601,514,705,61084,17866
"./plantas/europaea_06.jpg",3050,395,331,209,319,349,1488,433,680,823,217,488,921,1875,613,406,340,776,3911,5763,698,196,311,427,891,776,880,1619,1600,523,767,825,1000,470,475,454,998,3481,831,570,442,685,2016,7154,935,658,825,590,792,1671,1051,489,501,543,409,572,113259,12163
