"year","ECONOMIC.FREEDOM","rank","quartile","X1a_government_consumption","X1b_transfers","X1c_gov_enterprises","X1d_top_marg_tax_rate","X1_size_government","X2a_judicial_independence","X2b_impartial_courts","X2c_protection_property_rights","X2d_military_interference","X2e_integrity_legal_system","X2f_legal_enforcement_contracts","X2g_restrictions_sale_real_property","X2h_reliability_police","X2i_business_costs_crime","X2j_gender_adjustment","X2_property_rights","X3a_money_growth","X3b_std_inflation","X3c_inflation","X3d_freedom_own_foreign_currency","X3_sound_money","X4a_tariffs","X4b_regulatory_trade_barriers","X4c_black_market","X4d_control_movement_capital_ppl","X4_trade","X5a_credit_market_reg","X5b_labor_market_reg","X5c_business_reg","X5_regulation","continent"
1980,4.59,69,3,8.068550921,9.346049046,2,2,5.353649992,3.79131827677778,3.99328925272222,4.6,3.35437578255556,3.3,1.96085720605882,8.90223334452941,5.07924306325,3.04744748491667,1,3.982813988,6.629701536,8.332,4.478,0,4.859925384,4.05,5.75169659255556,6.8,0,3.616666667,8,5.4467099305,6.24874575038889,5.157306667,"South America"
1970,4.22,52,4,8.006411673,9.59387569752381,2,6.63636363636364,5.003205837,1.79046729911765,2.43259170705556,2.3,2.82781412338889,4.72930839019048,4.40935534152941,8.26589759835294,3.52758862483333,4.07787232666667,0.888888889,2.659762238,8.689357313,9.284,8.174,0,6.536839328,0.4,4.92609038005882,5.6,2,2.666666667,5.315315315,4.01958551376471,4.78501453158824,5.63620208842857,"South America"
2011,6.31,114,3,6.352941176,8.836512262,0,10,6.29736336,3.572987145,3.673959113,3.63230083,5,4.166666667,3.993334023,6.716327335,3.374147482,4.743730992,0.888888889,4.079313031,8.435909622,7.485569803,8.038,10,8.489869856,7.924111095,5.570680829,10,4.352747826,6.961884938,8.666666667,4.456995959,4.005065928,5.709576185,"South America"
2015,2.96,159,4,6.985294118,5.773841962,0,7,4.93978402,0.188571065,0.72931244,1.080327626,0.833333333,1.666666667,3.212148767,8.12971931,1.542288462,1.038382446,1,2.046750013,2.76840426,0,0,5,1.942101065,7.573022222,1.999863828,0,3.722060945,3.323736749,3.333333333,2.099009336,2.26086067,2.564401113,"South America"
2012,7.57,23,1,7.735294118,9.639451262,7,6,7.593686345,2.564102179,3.494590227,4.501857951,7.5,5,5.084941294,8.792407873,2.979307816,3.607663808,1,4.836096794,8.84306256,9.158527677,9.27,10,9.317897559,9.005066667,6.781877392,10,8.077781785,8.466181461,9.333333333,6.939318632,6.606357151,7.626336372,"South America"
2014,6.78,89,3,0,8.584782918,10,5,5.89619573,3.671719241,5.27,5.536760309,5,5,2.746,3.493336875,8.009479538,6.963813243,0.974358974,5.011702862,9.765674583,7.576652039,9.330842491,10,9.168292278,7.479288889,5.8638641,10,4.421932347,6.941271334,7.988666667,7.695558729,4.932206947,6.872144114,"South America"
2015,6.85,81,3,1.732352941,8.584782918,10,5,6.329283965,4.231635431,5.1,5.564618707,5,5,2.745757539,3.493336875,8.009479538,7.078947226,0.974358974,5.070129201,9.61505847,7.214717429,8.62003907,10,8.862453742,7.479288889,6.6960796,10,4.643449254,7.204704436,7.988666667,7.288025439,5.001935179,6.759542428,"South America"
2002,7.6,19,1,6.859805781,6.512048075,10,5,7.092963464,6,5.666666667,5.166666667,6.666666667,8.333333333,5.109379145,8.953927906,8.36808456125,5.94715424316667,0.777777778,5.828144811,8.880892542,8.531258249,9.50216251,10,9.228578325,9.215555556,9.083333333,10,6.692307692,8.747799145,9.129944562,5.479879253,6.626243792,7.078689202,"South America"
2003,4.39,125,4,6.162984958,6.51226158,2,6.5,5.293811635,0.833333333,0.666666667,2.333333333,1.66666,1.6666,3.965791434,8.653160441,1.59210899466667,1.77785516816667,1,2.826506458,4.976792124,5.687372618,3.776991809,5,4.860289138,7.94,4.583333333,0,5.525641026,4.51224359,6.868753377,3.14,3.350071203,4.452941527,"South America"
1990,4.47,92,4,8.529411765,8.174386921,4,4,6.175949671,2.35821096411111,2.55997730788889,5.3,7.26187431372222,8.3,4.83173028717647,6.759935639,2.96151378141667,4.13942663741667,0.888888889,5.696758173,0,0,0,10,2.5,3.193333333,5.51217093761111,10,0,4.397777778,3.695362029,3.459475,5.10110328216667,3.577418514,"South America"
