"Genero","Altura","Peso","Duracao","Batimento.Cardiaco","Temperatura.Corporal","Calorias","Idade"
"masculino",179,79,5,88,38.7,26,"60-69"
"feminino",154,58,10,81,39.8,35,"20-29"
"masculino",182,82,4,82,38.6,11,"30-39"
"masculino",189,93,8,77,39.2,29,"60-69"
"feminino",148,50,8,84,39.5,32,"30-39"
"feminino",157,60,3,80,38.7,10,"30-39"
"masculino",NA,85,1,80,37.7,3,"40-49"
"masculino",176,75,10,83,39.7,24,"20-29"
"masculino",173,73,7,78,39.3,12,"30-39"
"masculino",190,88,3,83,38.9,10,"40-49"
"masculino",183,86,1,81,38.3,4,"60-69"
"feminino",169,66,3,80,38.9,11,"50-59"
"masculino",152,59,2,79,38,5,"40-49"
"masculino",193,93,10,83,39.7,30,"30-39"
"masculino",168,71,3,78,38.5,3,"20-29"
"feminino",174,69,2,80,38.1,8,"60-69"
"feminino",170,64,9,84,39.6,35,"30-39"
"masculino",192,93,5,90,39.1,25,"50-59"
"feminino",179,67,8,77,39.5,23,"20-29"
"masculino",178,83,2,79,38.1,7,"50-59"
"feminino",144,50,7,83,39.3,27,"30-39"
NA,NA,74,2,73,38.6,6,"50-59"
"feminino",155,62,5,74,39.2,13,"20-29"
"masculino",195,93,6,93,39.2,23,"20-29"
"masculino",190,96,3,80,38.3,10,"50-59"
"feminino",160,62,4,87,39.1,18,"50-59"
"masculino",171,74,2,82,38.1,6,"50-59"
"masculino",194,92,6,92,39,23,"20-29"
NA,182,70,2,83,38.4,7,"30-39"
"masculino",179,84,6,82,39.2,19,"40-49"
"feminino",164,63,5,91,38.9,24,"40-49"
NA,184,87,5,88,39.5,20,"40-49"
"masculino",158,58,6,90,39.2,17,"20-29"
"feminino",190,87,3,84,38.9,12,"60-69"
"feminino",163,62,4,88,39.1,17,"30-39"
"masculino",191,95,6,88,39.3,20,"20-29"
"masculino",185,91,2,91,38.1,9,"30-39"
"masculino",202,109,6,87,39.1,24,"30-39"
"masculino",172,NA,7,87,39.5,24,"40-49"
"feminino",168,62,6,76,39.4,18,"30-39"
"feminino",161,57,6,83,39.5,22,"20-29"
"masculino",180,84,2,80,38.6,5,"40-49"
NA,179,73,10,84,39.9,21,"20-29"
"feminino",145,NA,3,89,38.7,13,"20-29"
"feminino",175,74,9,79,40,34,"70-79"
"feminino",161,60,2,89,38.4,9,"40-49"
"feminino",163,57,4,84,38.7,16,"30-39"
"feminino",172,72,8,80,39.5,26,"30-39"
"feminino",152,50,7,89,39.8,35,"60-69"
NA,178,80,9,84,39.4,20,"20-29"
"feminino",169,69,1,74,37.6,3,"30-39"
"masculino",205,112,6,83,39,32,"70-79"
"feminino",160,70,8,88,40,34,"40-49"
"masculino",172,75,8,88,39.7,30,"40-49"
"masculino",186,90,4,83,38.8,9,"20-29"
"feminino",NA,72,5,84,39.3,20,"50-59"
"masculino",205,103,7,88,39.6,23,"20-29"
"masculino",NA,72,8,84,39.7,30,"50-59"
"feminino",NA,60,7,89,39.4,30,"20-29"
"masculino",173,78,4,95,38.7,24,"60-69"
NA,190,97,7,83,39.5,24,"40-49"
"masculino",191,88,10,90,39.7,34,"20-29"
"masculino",175,76,4,86,38.9,20,"70-79"
"masculino",182,84,5,81,39.1,11,"20-29"
"feminino",183,79,3,80,38.9,9,"20-29"
"masculino",197,96,3,78,38.6,8,"30-39"
"feminino",169,67,5,80,39,18,"40-49"
"feminino",178,78,2,93,38.2,9,"20-29"
"masculino",185,96,5,85,39.1,26,"70-79"
"feminino",180,75,4,88,38.9,19,"60-69"
"masculino",209,111,7,83,39.5,26,"40-49"
"masculino",177,79,5,84,38.9,11,"20-29"
"feminino",169,62,9,80,40.2,30,"20-29"
"masculino",190,95,7,83,39.5,22,"30-39"
"feminino",166,64,2,75,37.9,7,"60-69"
"feminino",156,61,5,90,39.1,22,"30-39"
"masculino",169,71,10,84,39.8,29,"30-39"
"masculino",182,74,12,80,39.9,17,"20-29"
"masculino",163,65,9,92,40,29,"20-29"
"masculino",175,80,5,91,39.2,22,"40-49"
"masculino",177,83,4,83,39.3,9,"20-29"
"feminino",185,84,9,85,39.6,32,"30-39"
"feminino",172,70,2,89,37.8,9,"40-49"
"masculino",191,96,2,85,38.2,9,"60-69"
"feminino",140,45,7,86,39.1,29,"20-29"
"masculino",170,71,9,NA,39.8,17,"20-29"
"feminino",148,53,2,89,37.7,10,"50-59"
"masculino",182,82,9,86,39.8,24,"20-29"
"feminino",146,NA,7,88,39.5,33,"40-49"
"masculino",170,72,6,90,39,26,"40-49"
"feminino",172,73,4,85,38.6,18,"60-69"
"masculino",205,108,2,84,37.9,6,"20-29"
"feminino",170,65,3,76,38.2,8,"20-29"
"masculino",186,76,6,82,39.5,11,"20-29"
"masculino",167,72,4,89,38.7,19,"50-59"
"masculino",171,NA,2,81,38.6,4,"20-29"
"masculino",186,94,7,92,39.7,30,"30-39"
"feminino",144,47,2,77,38.1,6,"20-29"
"feminino",159,58,3,88,38.5,12,"20-29"
"masculino",184,85,9,85,39.6,32,"40-49"
"feminino",174,69,7,88,39.2,32,"50-59"
"masculino",173,71,4,81,39.1,8,"20-29"
NA,187,90,6,86,39.1,20,"30-39"
"masculino",184,85,8,94,39.4,34,"20-29"
"masculino",193,93,8,87,39.5,34,"40-49"
"feminino",187,80,6,90,39,25,"30-39"
"masculino",169,80,3,82,38.4,10,"40-49"
"masculino",180,75,8,88,39.4,23,"20-29"
"masculino",191,98,4,83,39.1,19,"70-79"
"feminino",178,71,7,89,39.8,28,"20-29"
"masculino",212,105,9,90,39.8,34,"20-29"
"masculino",179,83,2,79,38.1,4,"20-29"
"masculino",180,79,9,93,39.6,35,"20-29"
"masculino",196,94,5,86,39,23,"50-59"
"masculino",166,71,2,78,38.2,3,"20-29"
"masculino",167,66,6,87,39.1,20,"40-49"
"masculino",180,83,6,86,39.6,23,"40-49"
"masculino",180,75,4,77,39.2,5,"20-29"
"feminino",173,66,8,83,39.4,34,"60-69"
"masculino",187,87,5,82,39.2,11,"20-29"
"feminino",150,50,7,88,39.4,35,"60-69"
"masculino",176,77,2,80,38.6,5,"30-39"
"masculino",193,87,5,87,39.2,15,"20-29"
"masculino",181,92,3,88,38.8,15,"60-69"
"masculino",182,NA,5,84,39.3,19,"50-59"
"masculino",185,NA,3,86,39.1,9,"20-29"
"masculino",179,83,3,91,38.6,10,"20-29"
"feminino",170,64,2,77,38.1,6,"30-39"
"feminino",171,66,8,85,39.5,35,"60-69"
"feminino",NA,64,2,85,37.7,8,"40-49"
"feminino",170,65,3,85,39.1,12,"30-39"
"feminino",151,51,2,79,38.4,8,"50-59"
"feminino",160,60,5,89,39,24,"50-59"
"feminino",177,74,6,78,39.1,19,"30-39"
"feminino",158,61,3,87,38.5,14,"60-69"
"feminino",164,62,8,85,39.5,30,"20-29"
"feminino",168,66,3,NA,38.7,13,"50-59"
"masculino",177,76,1,76,37.8,2,"50-59"
"masculino",187,NA,7,90,39.4,27,"30-39"
"feminino",174,72,8,91,39.8,34,"20-29"
NA,171,71,3,83,38.4,11,"30-39"
"masculino",198,96,5,85,39.1,24,"60-69"
"feminino",160,57,3,81,38.8,10,"20-29"
"masculino",182,85,8,84,39.8,25,"30-39"
"feminino",169,66,6,85,39.4,26,"50-59"
"feminino",166,63,5,81,39.3,16,"20-29"
"feminino",176,64,4,75,38.9,11,"20-29"
"masculino",176,76,5,84,39.2,18,"40-49"
"masculino",207,114,1,87,37.7,5,"60-69"
"masculino",187,96,2,91,38,12,"70-79"
"feminino",NA,61,3,88,38.3,12,"20-29"
"masculino",177,84,7,84,39.1,35,"70-79"
"feminino",169,66,4,76,39.1,12,"40-49"
"masculino",198,97,1,79,37.5,2,"20-29"
"masculino",189,87,3,79,38.7,6,"20-29"
"feminino",157,56,3,84,39.1,12,"30-39"
"masculino",175,83,4,83,38.9,17,"60-69"
"feminino",171,74,7,95,39.4,34,"30-39"
NA,155,55,4,80,38.7,14,"30-39"
"masculino",NA,92,3,85,38.6,9,"20-29"
"masculino",171,78,5,86,39.2,20,"50-59"
"masculino",177,81,8,83,39.6,24,"40-49"
"masculino",195,99,6,82,39.1,19,"30-39"
"masculino",187,81,5,83,39.2,18,"50-59"
"feminino",174,75,3,92,38.7,14,"40-49"
NA,176,69,10,84,40.2,35,"20-29"
"feminino",NA,68,3,84,38.4,12,"50-59"
NA,199,110,6,81,39.4,22,"40-49"
"masculino",191,98,4,85,38.7,13,"30-39"
"feminino",171,68,7,91,39.6,31,"30-39"
"masculino",185,91,5,82,39.2,15,"30-39"
"masculino",178,79,3,82,38.7,8,"30-39"
"masculino",180,88,4,91,38.8,15,"20-29"
"feminino",179,72,7,82,39.4,23,"20-29"
"masculino",194,95,2,79,38.6,5,"30-39"
"masculino",NA,81,9,85,39.8,23,"20-29"
"masculino",188,NA,3,82,38.5,7,"20-29"
"feminino",159,60,5,91,38.7,25,"50-59"
"feminino",174,67,6,98,39.3,30,"20-29"
"masculino",160,68,6,90,39.4,17,"20-29"
"feminino",133,45,3,NA,38,12,"30-39"
"feminino",161,55,8,86,39.5,31,"20-29"
"masculino",179,80,5,88,39.5,20,"40-49"
"masculino",172,NA,9,88,39.8,24,"20-29"
"feminino",154,55,5,85,38.8,20,"20-29"
"masculino",194,97,6,91,39.6,29,"40-49"
"masculino",182,84,8,85,39.7,23,"30-39"
"feminino",149,51,4,95,38.7,21,"40-49"
"masculino",176,73,3,80,38.8,6,"20-29"
"masculino",165,70,5,97,39.2,25,"40-49"
"masculino",177,85,1,80,38.1,3,"40-49"
"masculino",173,78,3,88,38.7,9,"20-29"
"masculino",169,70,2,84,38,8,"60-69"
"feminino",162,63,3,86,38.5,12,"30-39"
"feminino",NA,53,2,79,38.5,7,"20-29"
"feminino",151,52,5,79,39.1,17,"30-39"
"feminino",157,61,7,90,39.4,35,"50-59"
